ItemID,Sentiment,SentimentText,text_clean,polarity,subjectivity,sentiment_label,compound,negative,positive,neutral
173,0, :[ I don't want to move!!!,dont want move,0.0,0.0,Neutral,-0.0572,0.379,0.0,0.621
174,1," :-D ))))))))...WHAT AN AMAZING NIGHT,DAY &amp; NIGHT AGAIN!! HI TWITS! I MiSS U GUYS",WHAT AMAZING NIGHTDAY NIGHT AGAIN TWITS MiSS GUYS,0.6000000000000001,0.9,Positive,0.6037,0.132,0.374,0.495
175,1, @ canaveral national  seashore,canaveral national seashore,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
176,1, @ progressing in the production department with &quot;The Uprizing&quot; thats the priority getting the head nodding beats and then we reach out,progressing production department with quotThe Uprizingquot thats priority getting head nodding beats then reach,0.0,0.0,Neutral,0.0258,0.0,0.078,0.922
177,1, @ taylorrhicks enjoy chicago..b new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone. ,taylorrhicks enjoy chicagob venue always cool shine everywhere know time will everyone,0.375,0.575,Positive,0.6705,0.0,0.355,0.645
178,0, @ the train crash in DC .....,train crash,0.0,0.0,Neutral,-0.4019,0.73,0.0,0.27
179,1,' @ Thestreetforce  ',Thestreetforce,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
180,1, @3sixty5days makes me smile.,3sixty5days makes smile,0.3,0.1,Positive,0.3612,0.0,0.556,0.444
181,1," @adamisacson My first day off in 3 weeks, and my child got up before 7:00. So watch for me on &quot;Nancy Grac.. http://tr.im/khKW",adamisacson first weeks child before watch quotNancy Grac http trim khKW,0.25,0.3333333333333333,Positive,0.0,0.0,0.0,1.0
182,1," @adbert: &quot;#Video [Woody Woodpecker â The Barber of Seville] I am great, @klitoria, just wishing to be a ch... â« http://blip.fm/~7g6r0",adbert quot Video Woody Woodpecker Barber Seville great klitoria just wishing http blipfm 7g6r0,0.8,0.75,Positive,0.7184,0.0,0.333,0.667
183,1, @alexrauchman I am happy you are staying around here. Drexel is a fabulous university. You should be proud. yeah.,alexrauchman happy staying around here Drexel fabulous university should proud yeah,0.6666666666666666,1.0,Positive,0.9081,0.0,0.639,0.361
184,0, @alvinkschneider what happened to angels and demons and lions and tigers and bears!?,alvinkschneider what happened angels demons lions tigers bears,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
185,0, @AmericanWomannn Well that sure minimizes the impact...LOL,AmericanWomannn Well that sure minimizes impactLOL,0.5,0.8888888888888888,Positive,0.5267,0.0,0.524,0.476
186,1," @ange_black @sween I call dibs on the Voltron arm. No the leg. Wait. Where are my manners? @baileygenine,.. http://tr.im/oERy",angeblack sween call dibs Voltron Wait Where manners baileygenine http trim oERy,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
187,1, @CharlottegC I just saw ur mum,CharlottegC just,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
188,1, @chloelunn and @meganmcdowell GET YOUR FAT ASSES ON HERE. NAI.,chloelunn meganmcdowell YOUR ASSES HERE,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
189,1,"- @codinghorror See, three external monitors on one laptop, http://www.twitpic.com/6e3zp Win7RC  1 x 1920x1080, 2 x 1280x1024",codinghorror three external monitors laptop http wwwtwitpiccom 6e3zp Win7RC 1920x1080 1280x1024,0.0,0.1,Neutral,0.0,0.0,0.0,1.0
190,1, @copicmarker&quot; facebook.com/copic.marker if you're cool. Or if you're not cool. Maybe I'll send some cool .. http://tr.im/oyT7,copicmarkerquot facebookcom copicmarker youre cool youre cool Maybe send some cool http trim oyT7,0.3499999999999999,0.65,Positive,0.7096,0.0,0.385,0.615
191,1,' @crewislife  you want to start the morning later; in New York we can do that  (Californians have it even better),crewislife want start morning later York that Californians have even better,0.25,0.25,Positive,0.4939,0.0,0.318,0.682
192,1, @cybervenus http://twitpic.com/75kwb ~ LOL LuV IT! &gt;&gt; http://twitpic.com/75hsg Did any1 find or c 1? #a.. http://bit.ly/mUMFh,cybervenus http twitpiccom 75kwb gtgt http twitpiccom 75hsg any1 find http bitly mUMFh,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
193,1, @dandelionas is making fettucini and garlic bread!,dandelionas making fettucini garlic bread,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
194,1, @danregal  tell @pfont i said Happy BDay!! ,danregal tell pfont said Happy BDay,0.8,1.0,Positive,0.5719,0.0,0.425,0.575
195,0,"- @Darcy_Lussier @lkrammes I went to work once last year with no pants. Ironically, that was my last day of work at that job. FML ",DarcyLussier lkrammes went work once last year with pants Ironically that last work that,0.0,0.06666666666666667,Neutral,0.0,0.0,0.0,1.0
196,1," @DirtyRose17  told you, you would sweep haha :-p",DirtyRose17 told would sweep haha,0.2,0.3,Positive,0.4588,0.0,0.429,0.571
197,0, @dreamingspires. there r many gr8 science cartoons http://bit.ly/6EW4Q http://bit.ly/gXH3q http://bit.ly/18sjXI http://bit.ly/KEAy2,dreamingspires there many science cartoons http bitly 6EW4Q http bitly gXH3q http bitly 18sjXI http bitly KEAy2,0.5,0.5,Positive,0.0,0.0,0.0,1.0
198,0,- @Em91 Edinburgh fringe is only 10 weeks away?! I need monies  Btw I'm Elliott from @angryfeet - blame @howlieT for the Twitter intrusion,Em91 Edinburgh fringe only weeks away need monies Elliott from angryfeet blame howlieT Twitter intrusion,0.0,1.0,Neutral,-0.34,0.146,0.0,0.854
199,0," @emilymariie why didnt you come to school?? have you done the short stack thing by yourself, or do you still need me?",emilymariie didnt come school have done short stack thing yourself still need,0.0,0.3,Neutral,0.0,0.0,0.0,1.0
200,0,"- @EvertB which one? http://bit.ly/10o8LW, http://bit.ly/Nh82S or http://bit.ly/wr8Vz - latter for the US Store only  #iphone #comics",EvertB which http bitly 10o8LW http bitly Nh82S http bitly wr8Vz latter Store only iphone comics,0.0,0.5,Neutral,0.0,0.0,0.0,1.0
201,0, @georgediaz #Magic ..thinking less than 50 % chance Hedo stays in Orlando. He's gonna go for the $$. They all do. Can't blame him though.,georgediaz Magic thinking less than chance Hedo stays Orlando gonna They Cant blame though,0.16666666666666669,0.5333333333333333,Positive,0.4133,0.0,0.238,0.762
202,0, @Glamicole ..now who wud make this beautiful plc cry?,Glamicole make this beautiful,0.85,1.0,Positive,0.6833,0.0,0.607,0.393
203,0, @HaterMagazine: @damienrandle it is now the outer fat kid.,HaterMagazine damienrandle outer,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
204,1,"- @haugern The servers are now backup, if you experience any more problems then please let me know  Sorry about the delay...",haugern servers backup experience more problems then please know Sorry about delay,0.0,0.75,Neutral,-0.4641,0.384,0.149,0.466
205,1," @hawaiibuzz: &quot;yes, i am lol j/k luv this! @DJDolceVita: &quot;you are like a gentle breeze that has blown throug... â« http://blip.fm/~7s7mn",hawaiibuzz quotyes this DJDolceVita quotyou like gentle breeze that blown throug http blipfm 7s7mn,0.2,0.8,Positive,0.6597,0.0,0.31,0.69
206,0," @hellopnsdear se MORREA a mi Joseph, no no se vale.",hellopnsdear MORREA Joseph vale,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
207,1, @hidingesther @linininiooh are my future rooooooooomies! NYC holleR,hidingesther linininiooh future rooooooooomies holleR,0.0,0.125,Neutral,0.0,0.0,0.0,1.0
208,1, @Hijack_King7 I hope u have cheeSe burgerS 4 @Snubbmatic LMBO,HijackKing7 hope have cheeSe burgerS Snubbmatic LMBO,0.0,0.0,Neutral,0.4404,0.0,0.326,0.674
209,1, @iamyas awesome,iamyas awesome,1.0,1.0,Positive,0.6249,0.0,0.804,0.196
210,1, @ivegotzooms I am nothing of the kind and everything of the sort http://tr.im/mLsn,ivegotzooms nothing kind everything sort http trim mLsn,0.6,0.9,Positive,-0.4168,0.284,0.0,0.716
211,1,- @jerrybattiste &quot;..pick up some flowers for the teacher..&quot; I'm jealous! I want flowers without having to be in the hospital to get them! ,jerrybattiste quotpick some flowers teacherquot jealous want flowers without having hospital them,0.0,0.0,Neutral,-0.4019,0.21,0.091,0.699
212,1,- @joaoqalves Think again   Talvez seja do Ãªnfase na cifra. Mas atenÃ§Ã£o: &quot;Security is a chain; it's as strong as the weakest link â¦,joaoqalves Think again Talvez seja nfase cifra aten quotSecurity chain strong weakest link,0.4333333333333333,0.7333333333333333,Positive,0.0,0.187,0.187,0.625
213,0, @jonasbrothers Why is your YouTube account suspended? lol Single Ladies dance? I NEED TO WATCH IT AGAIN!,jonasbrothers your YouTube account suspended Single Ladies dance NEED WATCH AGAIN,-0.07142857142857142,0.21428571428571427,Negative,-0.4767,0.237,0.0,0.763
214,0,- @JuicyJones I know.. SOLD OUT though. ,JuicyJones know SOLD though,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
215,1,- @kaitymarine - watch E3 @MCMudkips - Will do ,kaitymarine watch MCMudkips Will,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
216,1,- @katherineholden Thanks K! Here's hoping! Pretty nervous though... ,katherineholden Thanks Heres hoping Pretty nervous though,0.225,0.6,Positive,0.7783,0.15,0.636,0.214
217,0, @katiedontcry should get on aim and talk to me. i miss her.,katiedontcry should talk miss,0.0,0.0,Neutral,-0.1531,0.348,0.0,0.652
218,1, @kcome ?????????????????????????????????? ????????????1000 Followers???????????? http://tr.im/mWKn,kcome 1000 Followers http trim mWKn,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
219,1," @khead I'll tell ya, grocery store. It was better when you blasted the oldies. Sugar Ray does not make me.. http://tr.im/jd0y",khead tell grocery store better when blasted oldies Sugar does make http trim jd0y,-0.04999999999999999,0.7,Negative,0.4404,0.0,0.182,0.818
220,0, @kvetchingeditor's kashrut convo makes me want to keep more kosher but my roomies catholic &amp; he has a pork loin in the fridge #kosherFAIL,kvetchingeditors kashrut convo makes want keep more kosher roomies catholic pork loin fridge kosherFAIL,0.25,0.3,Positive,0.0772,0.0,0.091,0.909
221,0, @Leloz isn't home neither is @sozi1 ... @althani96 U BETTER HAVE IT!!!,Leloz isnt home neither sozi1 althani96 BETTER HAVE,0.5,0.5,Positive,-0.4494,0.296,0.0,0.704
222,1," @LHSOPERAFIENDS yall bitches better wake up early to go to the LA Opera, kay!?",LHSOPERAFIENDS yall bitches better wake early Opera,0.3,0.4,Positive,-0.25,0.331,0.246,0.424
223,0,"- @littlecharva - I'm immune to dentists' drills etc now, it just doesn't bother me at all. Having gum lift surgery next week tho *eek* ",littlecharva immune dentists drills just doesnt bother Having lift surgery next week,0.0,0.0,Neutral,0.5,0.0,0.298,0.702
224,0, @lolife4life where r u tonite im still awake!,lolife4life where tonite still awake,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
225,0, @lorinimus hates Bebot App,lorinimus hates Bebot,0.0,0.0,Neutral,-0.4404,0.592,0.0,0.408
226,1," @masareus&quot; @dhempe congrats bhai, but like the oldies in &gt; used to say - arre bhai kuch kam ka http://tr.im/ox5G",masareusquot dhempe congrats bhai like oldies used arre bhai kuch http trim ox5G,0.0,0.0,Neutral,0.7096,0.0,0.349,0.651
227,1, @MelodyChase,MelodyChase,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
228,1, @mgph3nom chilling on twitter via my spanking new blackberry w/ unlimited internet : http://tr.im/mZVC,mgph3nom chilling twitter spanking blackberry unlimited internet http trim mZVC,-0.5,0.9,Negative,-0.0258,0.109,0.0,0.891
229,1, @michaelsarver so do you give him every inch of your love every night?,michaelsarver give every inch your love every night,0.5,0.6,Positive,0.6369,0.0,0.375,0.625
230,1, @mimbles @WParenthetical,mimbles WParenthetical,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
231,1,' @minghao Maybe you can pop @StarHubCares a tweet. They are quite active on twitter. ,minghao Maybe StarHubCares tweet They quite active twitter,-0.13333333333333333,0.6,Negative,0.4576,0.0,0.3,0.7
232,1," @MsNovember It's a shame all the women in Mamma Mia are so horny, since all the men on this island are so.. http://tr.im/kmET",MsNovember shame women Mamma horny since this island http trim kmET,0.0,0.0,Neutral,-0.4767,0.237,0.0,0.763
233,1,- @nibaq Thanks for letting me know. I'm going to check out Eureka later with this knowledge ,nibaq Thanks letting know going check Eureka later with this knowledge,0.1,0.1,Positive,0.4404,0.0,0.225,0.775
234,0, @Oneshine What are u referring to?,Oneshine What referring,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
235,0, @plmusic22,plmusic22,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
236,1,"- @PoisonGirl10 What's up? @sevgli Hey you!  @lowridergrl I'm doing ok, thx. You? @cristinerafae You, too! TTYL! @Nic0pic0 Oh, sowwy! lol",PoisonGirl10 Whats sevgli lowridergrl doing cristinerafae TTYL Nic0pic0 sowwy,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
237,1, @RAPPUBLICIST HAPPY MOTHERS DAY!,RAPPUBLICIST HAPPY MOTHERS,0.8,1.0,Positive,0.5719,0.0,0.649,0.351
238,1,"- @raybooysen I knew Sharepoint was written by interns, I just knew it !! ",raybooysen knew Sharepoint written interns just knew,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
239,0,                                     I miss her so much already...,miss much already,0.2,0.2,Positive,-0.1531,0.444,0.0,0.556
240,0,               just practising.....how I feel       ,just practisinghow feel,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
241,0,            Miss my love Jamie,Miss love Jamie,0.5,0.6,Positive,0.5574,0.235,0.618,0.147
242,0,          FUCK YOU!,FUCK,-0.4,0.6,Negative,-0.5423,1.0,0.0,0.0
243,0,        my head feels like a bowling ball,head feels like bowling ball,0.0,0.0,Neutral,0.3612,0.0,0.385,0.615
244,0,        my heart hurts badly...,heart hurts badly,-0.6999999999999998,0.6666666666666666,Negative,-0.25,0.596,0.404,0.0
245,0,       FS keeps crashing when I try to load Bungie plane.,keeps crashing when load Bungie plane,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
246,0,      My current headset is on its deathbed now!  My dad gave it to me just 3 weeks back!    ,current headset deathbed gave just weeks back,0.0,0.2,Neutral,0.0,0.0,0.0,1.0
247,0,     ....    My mood is currently BLAH . Sitting in a parking lot,mood currently BLAH Sitting parking,0.0,0.4,Neutral,-0.2808,0.348,0.0,0.652
248,1,     I am happy     ,happy,0.8,1.0,Positive,0.5719,0.0,1.0,0.0
249,0,    ...that is all.,that,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
250,0,    everyone went home. and not everyone was even here! ~CMF &lt;3,everyone went home everyone even here,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
251,0,    fed up....,,0.0,0.0,Neutral,0.0,0.0,0.0,0.0
252,0,"    fuck, fuck, fuuuuck!",fuck fuck fuuuuck,-0.4,0.6,Negative,-0.7906,0.875,0.0,0.125
253,0,"    Not feeling it today     And to make matters worst its super nasty and rainy outside, YUCK!",feeling today make matters worst super nasty rainy outside YUCK,-0.4166666666666667,0.6791666666666666,Negative,-0.5423,0.462,0.333,0.205
254,0,   @Beansummer,Beansummer,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
255,0,"   Awwwwwh  i wanted Aiden Davis 2 WIN, i &lt;3 him so bummed he didnt ",Awwwwwh wanted Aiden Davis bummed didnt,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
256,0,   bed time now....,time,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
257,1,   Faltam 4 dias para o World Drawing day,Faltam dias para World Drawing,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
258,0,"   Friends like these ... no thanks, I'm not fake! ^ ^",Friends like these thanks fake,-0.15,0.6,Negative,0.6597,0.246,0.675,0.079
259,1,   haha omg. stayin steezy &amp; mowin the lawn... loviie still here &amp;&amp; goiing tanning soon.,haha stayin steezy mowin lawn loviie still here ampamp goiing tanning soon,0.2,0.3,Positive,0.4588,0.0,0.214,0.786
260,0,   i think my bf is cheating on me!!!!     ,think cheating,0.0,0.0,Neutral,-0.5574,0.783,0.0,0.217
261,1,   i wanna play with my camera but i will settle for playing with iv's and heart monitors,wanna play with camera will settle playing with heart monitors,0.0,0.0,Neutral,0.8126,0.0,0.545,0.455
262,0,   i want an octo drive,want octo drive,0.0,0.0,Neutral,0.0772,0.0,0.394,0.606
263,0,"   I want to display my pretty voltron!  Upside, I get two pretty voltrons!",want display pretty voltron Upside pretty voltrons,0.25,1.0,Positive,0.7717,0.0,0.658,0.342
264,0,   i want to find a way to put my photos on phone here i have Bluetooth in both phone and computer but it doesn't work,want find photos phone here have Bluetooth both phone computer doesnt work,0.0,0.0,Neutral,0.0772,0.0,0.106,0.894
265,0,   IN an effort to bring you the best content we just added at lease 30 hours to the release of The digital Rapture.  soon... hang tight,effort bring best content just added lease hours release digital Rapture soon hang tight,0.2738095238095238,0.1952380952380952,Positive,0.7003,0.0,0.326,0.674
266,0,  --- is our response to what happened today. and that is all.,response what happened today that,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
267,0,"   J, you are right... it hurts.",right hurts,0.2857142857142857,0.5357142857142857,Positive,-0.4767,0.756,0.0,0.244
268,0,"   kinda but not really, but kinda ",kinda really kinda,0.2,0.2,Positive,0.0,0.0,0.0,1.0
269,0,"   let's have a moment of silence for our childhood homes... sadly, it can't be replaced and we can never go back",lets have moment silence childhood homes sadly cant replaced never back,-0.25,0.5,Negative,-0.4215,0.219,0.0,0.781
270,1,   lol all these #robotpickuplines are hilarious ,these robotpickuplines hilarious,0.5,1.0,Positive,0.4019,0.0,0.574,0.426
271,1,"   man, oh man     (i should punch myself in the head, but im ok with that)",should punch myself head with that,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
272,1,"   my friends can get with ur friends and we can all b friends, shit, we could do this every weeknd.. Aiigght?  with coop n the crew",friends with friends friends shit could this every weeknd Aiigght with coop crew,-0.2,0.8,Negative,0.6908,0.164,0.425,0.411
273,0,"   No man is worth your tears, and the one that is won't make you cry!",worth your tears that wont make,0.3,0.1,Positive,0.0,0.244,0.244,0.513
274,0,   rain rain go away!,rain rain away,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
275,0,   storms are scary!,storms scary,-0.5,1.0,Negative,-0.4939,0.762,0.0,0.238
276,1,   such a beautiful satisfying day of bargain shopping. loves it.,such beautiful satisfying bargain shopping loves,0.45,0.8333333333333334,Positive,0.9081,0.0,0.861,0.139
277,0,   Tell those girls your clocking out lol,Tell those girls your clocking,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
278,1,   thank god today is friday !!! I love Ti Ti! &lt;3,thank today friday love,0.5,0.6,Positive,0.7717,0.0,0.77,0.23
279,0,   the batt to my internet connection died.  Guess its back to the mobile!,batt internet connection died Guess back mobile,0.0,0.0,Neutral,-0.5574,0.375,0.0,0.625
280,1,   thrilled about being at work this morning   ,thrilled about being work this morning,0.6,0.7,Positive,0.4404,0.0,0.367,0.633
281,1,   we break dance not hearts by Short Stack is my ringtone.... i LOVE that song!!!.....,break dance hearts Short Stack ringtone LOVE that song,0.25,0.44999999999999996,Positive,0.8816,0.0,0.569,0.431
282,0,   www.apple.com/iphone now has it for the 18th   ,wwwapplecom iphone 18th,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
283,0,  #squarespace #trackle  no apple iphone card for us  maybe tomorrow! I guess it helps if you tweet it huh?  We forgot ,squarespace trackle apple iphone card maybe tomorrow guess helps tweet forgot,0.0,0.0,Neutral,0.3818,0.0,0.206,0.794
284,0,  (unsure)  (hassle)  (:  (music) http://plurk.com/p/yq08l,unsure hassle music http plurkcom yq08l,0.0,0.0,Neutral,-0.25,0.286,0.0,0.714
285,0,                                           exhausted,exhausted,-0.4,0.7,Negative,-0.3612,1.0,0.0,0.0
286,0,          i want some ben&amp;jerrys cake batter please ugh,want some benampjerrys cake batter please,0.0,0.0,Neutral,0.3818,0.0,0.474,0.526
287,1,          my life is very lazzzzyyyy!!!!!!!            ***********,life very lazzzzyyyy,0.2,0.3,Positive,0.0,0.0,0.0,1.0
288,0,"        wish ella was on or somebody,,,,",wish ella somebody,0.0,0.0,Neutral,0.4019,0.0,0.574,0.426
289,1,       ish in a good mood .....tlk to me,good mood,0.7,0.6000000000000001,Positive,0.4404,0.0,0.744,0.256
290,0,      i think i'm going to go 3 a long drive then when i get to the pacific ocean open my car door and throw my pc in the ocean,think going long drive then when pacific ocean open door throw ocean,-0.025,0.45,Negative,0.0,0.0,0.0,1.0
291,0,      what the hell BBC?,what hell,0.0,0.0,Neutral,-0.6808,0.821,0.0,0.179
292,0,     #canucks,canucks,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
293,0,     I dont like this weekend.. Huhuhu ( (,dont like this weekend Huhuhu,0.0,0.0,Neutral,-0.2755,0.345,0.0,0.655
294,0,     I'll get on it right away!,right away,0.2857142857142857,0.5357142857142857,Positive,0.0,0.0,0.0,1.0
295,1,-     J + A MADE NiCE..... TWiCE!                     for now ;],MADE NiCE TWiCE,0.6,1.0,Positive,0.4215,0.0,0.583,0.417
296,1,     loves life atm!   its brilliant XD,loves life brilliant,0.9,1.0,Positive,0.8176,0.0,0.882,0.118
297,1,     who else is in a happy mood?? =D,else happy mood,0.8,1.0,Positive,0.5719,0.0,0.649,0.351
298,1,    !BYE EVERYONE!   ,EVERYONE,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
299,0,    ...lonely night,lonely night,-0.09999999999999998,0.7,Negative,-0.3612,0.714,0.0,0.286
300,0,    blue does not work      ,blue does work,0.0,0.1,Neutral,0.0,0.0,0.0,1.0
301,0,    geez I'm feeling their pain,geez feeling their pain,0.0,0.0,Neutral,-0.4215,0.485,0.221,0.294
302,0,    i miss my summertime daley.,miss summertime daley,0.0,0.0,Neutral,-0.1531,0.444,0.0,0.556
303,0,"    on the computer ... . . . . . . *ill*    lol,       no fuckin goin to portugal        ",computer fuckin goin portugal,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
304,1,    SO FAR SO GOOD!,GOOD,0.7,0.6000000000000001,Positive,0.4404,0.0,1.0,0.0
305,1,    TODAY WAS A GREAT DAY!!!,TODAY GREAT,0.8,0.75,Positive,0.6249,0.0,0.804,0.196
306,0,    UGHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,UGHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
307,0,   #Battleground,Battleground,0.0,0.0,Neutral,-0.4019,1.0,0.0,0.0
308,1,"   a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot.",,0.0,0.0,Neutral,0.0,0.0,0.0,0.0
309,0,   Awwwwwh  i wanted Aiden Davis 2 WIN  i &lt;3 him so bummed he didnt ,Awwwwwh wanted Aiden Davis bummed didnt,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
310,0,   Curtain drops at the Crown Uptown after 32 ye http://www.kansas.com/news/featured/story/860875.html,Curtain drops Crown Uptown after http wwwkansascom news featured story 860875html,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
311,0,   eh  must leave New Mexico and soon!,must leave Mexico soon,0.0,0.0,Neutral,-0.0516,0.286,0.0,0.714
312,0,   fail maths  i knew it i was just too slow ,fail maths knew just slow,-0.4,0.35,Negative,-0.5423,0.467,0.0,0.533
313,0,"   From Gongwer OH Report, sounds like leadership still considering library cuts, not considering tax increases. #saveohiolibraries",From Gongwer Report sounds like leadership still considering library cuts considering increases saveohiolibraries,0.0,0.0,Neutral,0.0772,0.14,0.159,0.701
314,0,   fuck sake. Why can things never work out for me?,fuck sake things never work,-0.4,0.6,Negative,-0.5423,0.467,0.0,0.533
315,0,"-   going in town todaÑ with mÑ cousinnn, [Ñ]     netball match was cancelledd ",going town toda with cousinnn netball match cancelledd,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
316,0,   hoping to see my baby girl,hoping baby girl,0.0,0.0,Neutral,0.4215,0.0,0.583,0.417
317,0,   i don't even know.,dont even know,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
318,0,   I just lost a member of my family ,just lost member family,0.0,0.0,Neutral,-0.3182,0.434,0.0,0.566
319,0,   I'm SICK of bedtime battles   ,SICK bedtime battles,-0.7142857142857143,0.8571428571428571,Negative,-0.7672,0.869,0.0,0.131
320,0,   i'm so cold this morning......       i have chills all over.....   ,cold this morning have chills over,-0.6,1.0,Negative,0.0,0.0,0.0,1.0
321,0,   Just... ,Just,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
322,0,   No no no. Tonight goes on the books as the worst SYTYCD results show.,Tonight goes books worst SYTYCD results show,-1.0,1.0,Negative,-0.6249,0.406,0.0,0.594
323,0,   no shopping   ,shopping,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
324,0,"  - Poor lil mousey, just out enjoying the sunny day. I don't think I'd feel so bad if it was a big gnarly rat though. Dbl standard? Yep.",Poor mousey just enjoying sunny dont think feel gnarly though standard,0.033333333333333326,0.39999999999999997,Positive,0.4767,0.179,0.358,0.462
325,0,  -- that's an EPIC sad face.,thats EPIC face,0.1,0.4,Positive,0.0,0.0,0.0,1.0
326,0,   This magazine story just broke my heart at the dentist's office today:  http://tinyurl.com/ngbq2c,This magazine story just broke heart dentists office today http tinyurlcom ngbq2c,0.0,0.0,Neutral,0.34,0.165,0.247,0.588
327,1,   Tiger Woods is up by 2at 18 via http://nascar.com/racebuddy,Tiger Woods http nascarcom racebuddy,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
328,0,   wanna go meet wifey but can't....  this sux   :'(,wanna meet wifey cant this,0.0,0.0,Neutral,0.0,0.0,0.0,1.0
329,0,   Wondering why I feel like I do...I'll feel better though...Its all good! I'll be happy inspite of...Tweet ya lata ,Wondering feel like doIll feel better thoughIts good happy inspite ofTweet lata,0.6666666666666666,0.7000000000000001,Positive,0.9001,0.0,0.6,0.4
330,1,"   yippeeeee yay lets gather in the hay...HIS LOVE FOUND IT'S WAY+ boy,it's Gonna STAY added 2 the Master's HOLY WAY: ALL HIS WILL+WAY",yippeeeee lets gather hayHIS LOVE FOUND boyits Gonna STAY added Masters HOLY WILL,0.5,0.6,Positive,0.7125,0.0,0.291,0.709
331,0,  #IranElection - no one realizes how deep this goes.,IranElection realizes deep this goes,0.0,0.4,Neutral,0.0,0.0,0.0,1.0
332,0,  &gt;. Bodies from Air France crash have been found  http://twurl.nl/dvu8be (via @Paisano ),Bodies from France crash have been found http twurlnl dvu8be Paisano,0.0,0.0,Neutral,-0.4019,0.213,0.0,0.787
333,0,"  &lt; that is the story of my life, a whole bunch of frownies!",that story life whole bunch frownies,0.2,0.4,Positive,0.0,0.0,0.0,1.0
334,0,               I HAVE NOOOOOOOOOO FRIENDS ON TWITTER IT MAKES ME SAD WILL SOMEONE FOLLOW ME      ,HAVE NOOOOOOOOOO FRIENDS TWITTER MAKES WILL SOMEONE FOLLOW,0.0,0.0,Neutral,0.4767,0.0,0.307,0.693
335,0,             i just want to hear from you. i guess that's asking too much..,just want hear from guess thats asking much,0.2,0.2,Positive,0.0772,0.0,0.157,0.843
336,1,       Hardest working chica i know( mii boss lady) @MoneyAceweather (look up to her seriously) lOl,Hardest working chica know boss lady MoneyAceweather look seriously,-0.3333333333333333,0.6666666666666666,Negative,-0.1779,0.175,0.0,0.825
337,0,       i really2 don't like this condition. sucksssssss,really2 dont like this condition sucksssssss,0.0,0.0,Neutral,-0.2755,0.297,0.0,0.703
338,0,"       Orlando Lost  The Series. Oh Well, Maybe Phoenix, Or Boston, Or Cleveland (The Teams I Like) Will Make It Next Year!",Orlando Lost Series Well Maybe Phoenix Boston Cleveland Teams Like Will Make Next Year,0.0,0.0,Neutral,0.3182,0.128,0.257,0.615
339,0,      rinitis sucks!!!!!,rinitis sucks,-0.3,0.3,Negative,-0.3612,0.714,0.0,0.286
340,1,      thanks for being the bestttttttttttttttttttt J-dawg,thanks being bestttttttttttttttttttt Jdawg,0.2,0.2,Positive,0.4404,0.0,0.492,0.508
